更新时间,#genre#
20250202 09:22:44,https://gitee.com/kabigo/tv/raw/master/assets/about1080p.mp4
关于本源(iptv365.org),https://gitlab.com/p2v5/wangtv/-/raw/main/about1080p.mp4
(新)每日一首,https://vd3.bdstatic.com/mda-mhwaejanf0ie6b8j/1080p/cae_h264/1630409563129833732/mda-mhwaejanf0ie6b8j.mp4
(年)MovieMusic欣赏,https://lotus.stingray.com/manifest/cmusic-cme004-montreal/samsungtvplus/dee3e3af-2706-3e77-a952-91b99f6d1819/5711200/manifest.m3u8
(快)AMC音乐,https://AMChls.wns.live/hls/stream.m3u8
(乐)音乐欣赏,http://61.221.215.25:8800/hls/58/index.m3u8


💓专享源🅰️,#genre#
📹️直播中国,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001
🐼直播熊猫,https://gcwbndali.v.myalicdn.com/gcwbnd/ipanda1000_2/index.m3u8
🛰️国际空间站,http://dns.yiandrive.com:15907/bilibili/9196015
动作电影,http://183.255.10.78:6610/200000001898/460000089800010003/1.m3u8?IASHttpSessionId=ACE
超级电影,http://183.255.10.84:6610/200000001898/460000089800010064/1.m3u8?IASHttpSessionId=ACE
惊悚悬疑,http://183.255.10.78:6610/200000001898/460000089800010077/1.m3u8?IASHttpSessionId=ACE
超级电视剧,http://183.255.10.82:6610/200000001898/460000089800010065/1.m3u8?IASHttpSessionId=ACE
精品大剧,http://183.255.10.92:6610/200000001898/460000089800010072/1.m3u8?IASHttpSessionId=ACE
家庭剧场,http://183.255.10.82:6610/200000001898/460000089800010074/1.m3u8?IASHttpSessionId=ACE
黑莓电影,http://183.255.10.70:6610/200000001898/460000089800010073/1.m3u8?IASHttpSessionId=ACE
超级电视剧,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226979/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EVGh4wVrIL86YabiEzt0u5Q%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
超级电影,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226994/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EOKgJ-MarN4M0aStGnXjR0A%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
黑莓电影,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226939/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EkBVQL3MtyiM0GGQzuPjqAQ%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
家庭剧场,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226981/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EftyW3kjTIOj5n2P8RZkDxQ%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
惊悚悬疑,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227013/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EsZ9kjVUW6IQXTWQniX9Byg%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
动作电影,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226974/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EBow_B3ta32lPIHmLzLPzVQ%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
精品大剧,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226970/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E3L0P9l_fI2y0M6HyVzY8Ag%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
重温经典,http://cdn3.132.us.kg/live/cwjd/stream.m3u8
Thrill,https://stream1.freetv.fun/thrill-2.m3u8
Thrill,p3p://108.181.32.169:46313/644a0879000272f67a89b6687af342ae
Thrill,https://stream1.freetv.fun/thrill-1.m3u8
AMC电影,http://61.221.215.25:8800/hls/43/index.m3u8
AMC电影,https://4gtv.mytvsuper.xyz/4gtv.php?id=4gtv-4gtv017
AMC电影,http://tw.ts138.top/4g/?id=4gtv-4gtv017
AMC电影,http://104.244.79.187:5050/litv/4gtv-4gtv017
龙华电影,http://37.27.111.214:8080/live/19/hls.m3u8
龙华电影,http://aktv.top/AKTV/live/aktv/null-23/AKTV.m3u8
龙华电影,http://211.72.65.236:8556/.m3u8
HBO,p3p://167.114.175.6:55331/66d22f6b0001f87c739b69c977f063dd
美亞電影TW,p3p://167.114.175.6:55331/62883c4f000a4ca3c722d5ec04fb74e7
美亞電影HK,http://aktv.top/AKTV/live/aktv/hk-1/AKTV.m3u8
CHC动作电影,http://eastscreen.tv/ooooo.php?id=chcdz
CHC家庭影院,http://eastscreen.tv/ooooo.php?id=chcjt
CHC影迷电影,http://eastscreen.tv/ooooo.php?id=chchd
星爷喜剧经典(🚀),http://epg.112114.eu.org/douyu/122402
🔁周星星,http://182.40.120.171/test-txdwk.flv.huya.com/src/1394575534-1394575534-5989656310331736064-2789274524-10057-A-0-1.m3u8
鹿鼎记,https://lunbo.freetv.top/yy/1354658049
我不是药神,https://vip.ffzy-play1.com/20221018/478_c3afed66/index.m3u8
让子弹飞,https://vip.ffzy-play7.com/20230116/11563_b9f44814/index.m3u8
▶️铃芽之旅（日语原声）,https://hlsdofviewmgspvod.aikan.miguvideo.com/depository_cidcobs_wxlz03/asset/zhengshi/5105/137/798/5105137798/media/5105137798_5195915769_56.mp4
▶️铃芽之旅（普通话）,https://hlsdofviewmgspvod.aikan.miguvideo.com/depository_cidcobs_wxlz03/asset/zhengshi/5105/205/437/5105205437/media/5105205437_5195916136_56.mp4
▶️阿凡达：水之道,https://hlsdofviewmgspvod.aikan.miguvideo.com/depository_yqv/asset/zhengshi/5101/004/544/5101004544/media/5101004544_5091261956_56.mp4
▶️阿凡达：水之道（普通话）,https://hlsdofviewmgspvod.aikan.miguvideo.com/depository_yqv/asset/zhengshi/5105/080/728/5105080728/media/5105080728_5091264010_56.mp4
▶️(2024)阴阳师,https://svip.high22-playback.com/20240731/5755_91995ca9/index.m3u8
▶️(2024)哥斯拉大战金刚2：帝国崛起,https://api.heimuer.app/play/6f3edeb2885149e4b30f676e8a94ef3b.m3u8
▶️(2024)绝地战警：生死与共,https://v3.tlkqc.com/wjv3/202406/12/gFunRiZvHb75/video/index.m3u8
▶️(2024)异形寄生:起源,https://api.heimuer.app/play/3e9be3a5080c46449dbc355c9cb8baec.m3u8
▶️(2024)狄仁杰之天宫蜃楼,https://v9.tlkqc.com/wjv9/202408/06/p7712pXCuV81/video/index.m3u8
▶️(2024)鬼舞村：詛咒起源,https://v12.tlkqc.com/wjv12/202408/04/UJGTrrEASp84/video/index.m3u8
▶️星际穿越,https://api.heimuer.app/play/f9b471ddd1ee425bb3c64a24f82561be.m3u8
▶️明日边缘,http://nas.dylove.xyz:35455/yy/1382736835
▶️美国队长,https://www.goodiptv.club/yy/1382736813
▶️变形金刚,https://lunbo.freetv.top/yy/1382736803
▶️毒液：致命守护者,https://www.goodiptv.club/yy/1382745095
▶️魔戒首部曲：魔戒現身,https://api.heimuer.app/play/d10849d4be514bfeb5de7b6ff8bdfb5a.m3u8
▶️魔戒首部曲：魔戒現身,https://vip.ffzy-play7.com/20230411/22167_a385d245/2000k/hls/mixed.m3u8
▶️魔戒首部曲：魔戒現身,https://vip.kuaikan-cdn4.com/20240220/k2bjbEoB/898kb/hls/index.m3u8
▶️魔戒二部曲：雙城奇謀,https://api.heimuer.app/play/4c017a32d1a7478696e4b78d95774ccc.m3u8
▶️魔戒二部曲：雙城奇謀,https://vip.ffzy-play7.com/20221127/7286_672b6ffa/2000k/hls/mixed.m3u8
▶️魔戒三部曲：王者再臨,https://api.heimuer.app/play/bd885bde48d742068df66e382a8db7a7.m3u8
▶️魔戒三部曲：王者再臨,https://vip.ffzy-play6.com/20221017/19_8752ff61/2000k/hls/mixed.m3u8
▶️哈利波特：死神的聖物Ⅰ,https://ikcdn01.ikzybf.com/20221105/DABRajDL/index.m3u8
▶️哈利波特：消失的密室,https://v1.fentvoss.com/sdv1/202308/19/7pizD2d5YN2/video/index.m3u8
▶️哈利波特：混血王子的背叛,https://v1.fentvoss.com/sdv1/202308/19/jZ4qXuUYMH2/video/index.m3u8
▶️哈利波特：火盃的考驗,https://ikcdn01.ikzybf.com/20221210/qYaADoTA/index.m3u8
▶️哈利波特：神秘的魔法石,https://s2.fsvod1.com/20220301/A2jwRRDZ/index.m3u8
▶️哈利波特：鳳凰會的密令,https://v1.fentvoss.com/sdv1/202308/19/kL6HzXQ7Xi2/video/index.m3u8
▶️龙门飞甲,https://cdn2.yzzy-tv-cdn.com/20220331/4883_7f84c204/index.m3u8
▶️哪咤之决战龙神,https://hlsdofviewmgspvod.aikan.miguvideo.com/depository_yqv/asset/zhengshi/5105/004/353/5105004353/media/5105004353_5033311414_56.mp4


💓专享源🅱️,#genre#
漫威系列,http://fy27.zbds.top:55455/yy/1382736863
漫威电影,http://zzy789.xyz/douyu1.php?id=6140589
①华语房✔原,http://zzy789.xyz/douyu1.php?id=85894
②星爷房✔原,http://zzy789.xyz/douyu1.php?id=122402
③粤语房✔原,http://zzy789.xyz/douyu1.php?id=6566671
④欧美房✔原,http://zzy789.xyz/douyu1.php?id=20415
惊悚电影✔原,http://zzy789.xyz/douyu1.php?id=96577
粤语电影✔原,http://zzy789.xyz/douyu1.php?id=6566671
华语影视✔原,http://zzy789.xyz/douyu1.php?id=3928
冰冰影厅✔原,http://zzy789.xyz/douyu1.php?id=74374
刀刀影院✔原,http://zzy789.xyz/douyu1.php?id=747764
奶虫影院✔原,http://zzy789.xyz/douyu1.php?id=263824
贝爷壹厅✔原,http://zzy789.xyz/douyu1.php?id=252802
贝爷贰厅✔原,http://zzy789.xyz/douyu1.php?id=4332
贝爷叁厅✔原,http://zzy789.xyz/douyu1.php?id=36337
凌儿影院✔原,http://zzy789.xyz/douyu1.php?id=1377142
橙記港剧✔原,http://zzy789.xyz/douyu1.php?id=4549169
古装神剧✔原,http://zzy789.xyz/douyu1.php?id=338759
酒染影视✔原,http://zzy789.xyz/douyu1.php?id=7550220
芊珏影视✔原,http://zzy789.xyz/douyu1.php?id=8814650
热门港剧✔原,http://zzy789.xyz/douyu1.php?id=5522351
国产剧集✔原,http://zzy789.xyz/douyu1.php?id=8157860
国产剧场✔原,http://zzy789.xyz/douyu1.php?id=308752
经典剧集✔原,http://zzy789.xyz/douyu1.php?id=6863367
李卫当官✔原,http://zzy789.xyz/douyu1.php?id=7473576
